"filename", "language", "C++", "Markdown", "YAML", "Docker", "Batch", "Shell Script", "Python", "HTML", "CMake", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\Dep\meteor\src\meteorAdapter.cpp", "C++", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 39, 153
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\Dep\meteor\src\stdafx.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 9
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\includes\meteorAdapter.h", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\includes\ph_cooling_controller.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\src\ph_cooling_controller.cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 43
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\tests\main.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\tests\phMotionTest.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 25
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\README.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\cmake\Windeployqt.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 13, 101
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\cmake\copySharedLibs.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 49
