"filename", "language", "CMake", "Markdown", "Batch", "C++", "JSON", "YAML", "Python", "XML", "Ini", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\menuView.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 13, 9, 36
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\processTabView.h", "C++", 0, 0, 0, 18, 0, 0, 0, 0, 0, 13, 7, 38
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\sinkingView.h", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 12, 8, 36
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\view.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 14, 4, 28
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\aligning_process.h", "C++", 0, 0, 0, 36, 0, 0, 0, 0, 0, 12, 11, 59
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\cnt_alignment_system.h", "C++", 0, 0, 0, 120, 0, 0, 0, 0, 0, 20, 13, 153
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\cooling_process.h", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 12, 9, 51
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\extracting_process.h", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 12, 11, 53
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\heating_process.h", "C++", 0, 0, 0, 31, 0, 0, 0, 0, 0, 12, 9, 52
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\heating_system.h", "C++", 0, 0, 0, 55, 0, 0, 0, 0, 0, 16, 8, 79
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\process_feedback.h", "C++", 0, 0, 0, 34, 0, 0, 0, 0, 0, 12, 7, 53
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\process_manager.h", "C++", 0, 0, 0, 39, 0, 0, 0, 0, 0, 23, 11, 73
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\redirect_io.h", "C++", 0, 0, 0, 98, 0, 0, 0, 0, 0, 23, 5, 126
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\sinking_process.h", "C++", 0, 0, 0, 35, 0, 0, 0, 0, 0, 12, 10, 57
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\system_feedback.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 12, 12, 41
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wafer_cooling_system.h", "C++", 0, 0, 0, 63, 0, 0, 0, 0, 0, 22, 11, 96
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wafer_holder_motion_system.h", "C++", 0, 0, 0, 82, 0, 0, 0, 0, 0, 18, 16, 116
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wgm_communication.h", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 20, 59
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wgm_experiment.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 11, 8, 36
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wgm_monitoring.h", "C++", 0, 0, 0, 133, 0, 0, 0, 0, 0, 46, 13, 192
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wgm_test.h", "C++", 0, 0, 0, 13, 0, 0, 0, 0, 0, 10, 7, 30
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_static\wgm_user.h", "C++", 0, 0, 0, 23, 0, 0, 0, 0, 0, 11, 8, 42
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\whs_static\Iaxis_motion.h", "C++", 0, 0, 0, 28, 0, 0, 0, 0, 0, 10, 4, 42
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\whs_static\Idistance_sensor.h", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 11, 3, 33
