"filename", "language", "Batch", "Markdown", "C++", "CMake", "YAML", "Ini", "Docker", "HTML", "Python", "JavaScript", "XML", "CSS", "Java", "LaTeX", "Makefile", "TeX", "C", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\config\ph_config.yaml", "YAML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Dep\meteor\include\Meteor.h", "C++", 0, 0, 1260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 737, 83, 2080
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Dep\meteor\include\PrinterInterface.h", "C++", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 423, 130, 760
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Dep\meteor\include\typedef.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 56
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Meteor_Sample_Apps\SamplePrintCpp\Bitmaps.cpp", "C++", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 34, 274
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Meteor_Sample_Apps\SamplePrintCpp\Bitmaps.h", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 13
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Meteor_Sample_Apps\SamplePrintCpp\MeteorPath.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 8, 92
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Meteor_Sample_Apps\SamplePrintCpp\MeteorPath.h", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 12
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cooling_system_submodule_cpp\dependencies\software_printhead_module\Meteor_Sample_Apps\SamplePrintCpp\SamplePrint.cpp", "C++", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 53, 333
