Date : 2022-12-21 22:16:09
Directory : c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp
Total : 2266 files,  634389 codes, 220321 comments, 103650 blanks, all 958360 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_environment_test.cc                                                | C++              |        106 |         60 |         27 |        193 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_filter_unittest.py                                                 | Python           |        343 |        154 |        140 |        637 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_filter_unittest_.cc                                                | C++              |         61 |         46 |         34 |        141 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_help_test.py                                                       | Python           |         75 |         66 |         32 |        173 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_help_test_.cc                                                      | C++              |          7 |         35 |          5 |         47 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_list_tests_unittest.py                                             | Python           |         60 |        115 |         33 |        208 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_list_tests_unittest_.cc                                            | C++              |         73 |         45 |         40 |        158 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_main_unittest.cc                                                   | C++              |          5 |         34 |          7 |         46 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_no_test_unittest.cc                                                | C++              |          6 |         45 |          6 |         57 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_output_test.py                                                     | Python           |        154 |        120 |         67 |        341 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_output_test_.cc                                                    | C++              |        630 |        230 |        203 |      1,063 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_pred_impl_unittest.cc                                              | C++              |      1,743 |        438 |        247 |      2,428 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_premature_exit_test.cc                                             | C++              |         60 |         49 |         19 |        128 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_prod_test.cc                                                       | C++              |         15 |         36 |          7 |         58 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_repeat_test.cc                                                     | C++              |        145 |         61 |         48 |        254 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_shuffle_test.py                                                    | Python           |        194 |         71 |         61 |        326 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_shuffle_test_.cc                                                   | C++              |         48 |         37 |         19 |        104 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_sole_header_test.cc                                                | C++              |         18 |         33 |          7 |         58 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_stress_test.cc                                                     | C++              |        145 |         72 |         40 |        257 |
